Address,House_Size,Last_Sold Price,Zillow_Estimate
123 STRATFORD DR,2.173,895,1414.549
649 15TH AVE,1.872,599,1535.735
1354 QUESADA AVE,1.534,360,816.746
327 SWEENY ST,1.248,247,802.233
818 VAN NESS AVE,0.954,699,1049.39
776 TEHAMA ST,1.063,450,993.45
1325 INDIANA ST,1.121,865,885.297
522 CLIPPER ST,3.2,1180,2441.285
424 COLLEGE AVE,1.6,929,1378.847
139 PERALTA AVE,1.47,863.5,1300.639
31 DWIGHT ST,1.06,85,758.834
2780 19TH AVE,1.46,800,1125.507
845 GOETTINGEN ST,1.725,590,810.025
230 JERSEY ST,1.89,953,2394.961
616 MOUNT VERNON AVE,1.425,176,858.909
1 STONECREST DR,2.852,578,1720.808
30 ALTA ST,3.25,850,5550.677
155 FARNUM ST,1.35,790,1475.941
58 BELLE AVE,1.853,463,1024.643
51 ASHBURY TER,1.387,635,3473.044
2442 47TH AVE,1.162,32,956.647
753 VERMONT ST,1.95,948.5,1663.061
321 LEXINGTON ST,1.718,525,1349.686
1649 PAGE ST,1.692,1410,1469.886
2939 PINE ST,3.268,880,3461.722
180 CARNELIAN WAY,1.959,370,1455.019
1718 20TH AVE,2.225,695,1388.973
247 ROOSEVELT WAY,0.75,575,1113.817
1211 FITZGERALD AVE,0.92,185,655.363
355 22ND AVE,3.543,1155,2023.961
2090 FELL ST,1.05,710,941.343
441 MARIETTA DR,2.1,925,1623.977
2050 NORIEGA ST,1.346,440,1072.463
2643 45TH AVE,1,579,976.958
1735 31ST AVE,1.325,225,1038.228
342 HARVARD ST,1.495,245,949.923
22 MINNA ST,1.778,901.5,1380.439
360 GUTTENBERG ST,0.56,300,633.696
91 COLERIDGE ST,1.072,810,1164.646
451 UNION ST,1.2,575,1108.808
2157 TAYLOR ST,3.734,980,3301.677
139 SUTRO HEIGHTS AVE,1.646,810,1263.492
27 LAS VILLAS CT,1.515,175.5,792.753
8 LANDERS ST,1.199,1010.5,1374.857
1 SARGENT ST,2.126,450,1023.648
1918 43RD AVE,1.214,46,957.623
689 SWEENY ST,0.982,450,772.677
51 LISBON ST,1.3,460,855.696
219 BRANNAN ST,0.823,497.5,1136.825
450 MONTICELLO ST,2.052,1500,1619.242
441 WALNUT ST,3.39,935,4012.33
630 WAYLAND ST,1.1,31,863.321
173 HANCOCK ST,2.51,95,2462.778
439 CHESTNUT ST,1.6,500,1823.21
2266 32ND AVE,1.05,601,1043.033
454 GATES ST,1.9,19,1432.664
266 27TH AVE,1.844,1612,1605.968
1211 HOLLISTER AVE,1.425,325,742.846
889 44TH AVE,2.02,750,1338.952
130 ORTEGA ST,0.835,605,965.334
3201 MORAGA ST,1.088,630,950.406
65 RAYMOND AVE,1.4,212,783.667
862 DARTMOUTH ST,0.836,162.5,724.681
888 07TH ST,1.239,327.5,1261.478
527 MUNICH ST,1.275,31,781.01
160 HIGHLAND AVE,1.3,534,1321.02
1955 MCALLISTER ST,3.03,568,2178.014
4773 18TH ST,1.93,1050,1904.317
220 DE LONG ST,0.825,375,610.419
408 EDINBURGH ST,3.014,150,1188.775
1233 HOWARD ST,0.977,850,915.105
1755 46TH AVE,0.85,30,932.996
229 BRANNAN ST,1.1,1505,1197.411
